Fund Name,Dist (inc) / Accum,Main Currency,CUSIP,ISIN,Fund Family,Share,Net Expense Ratio,Morningstar Category,Asset Class,Sub Asset Class,Investment Area,Morningstar Rating overall,% Equity  USA ,% USA FI,Upload Date
Aberdeen Standard SICAV I  Select Euro High Yield Bond Fund,,,L0188D490         ,LU1036028238         ,Aberdeen Standard,I Acc Hedged USD,,,unknown,,,,,,9/4/2020
AB US GOVERNMENT MONEY MKT.OPTION ,,,L00215902,XX0079474963,Alliance Bernstein, A,,,unknown,,,,,,9/4/2020
AB US GOVERNMENT MONEY MKT.OPTION ,,,L00215910,XX0079475770,Alliance Bernstein, B,,,unknown,,,,,,9/4/2020
AB US GOVERNMENT MONEY MKT.OPTION ,,,L00215928,XX0054403193,Alliance Bernstein, C,,,unknown,,,,,,9/4/2020
AB US GOVERNMENT MONEY MKT.OPTION ,,,L00215936,XX0079475341,Alliance Bernstein, I,,,unknown,,,,,,9/4/2020
EMERGING MARKET LOCAL CURRENCY DEBT ,,,L5529D810,LU0800108853,Alliance Bernstein, B2,,,unknown,,,,,,9/4/2020
EMERGING MARKET LOCAL CURRENCY DEBT ,,,L5529D828,LU0800109075,Alliance Bernstein, BT,,,unknown,,,,,,9/4/2020
EMERGING MARKET LOCAL CURRENCY DEBT ,,,L5529D836,LU0800109158,Alliance Bernstein, CT,,,unknown,,,,,,9/4/2020
EMERGING MARKET LOCAL CURRENCY DEBT ,,,L5529D844,LU0800109232,Alliance Bernstein, IT,,,unknown,,,,,,9/4/2020
EUROPEAN INCOME ,,,L0024M175,LU0447425199,Alliance Bernstein, CT,,,unknown,,,,,,9/4/2020
US HIGH YIELD ,,,L5529V208,LU1120829566,Alliance Bernstein, AT,,,unknown,,,,,,9/4/2020
US HIGH YIELD ,,,L5529V224,LU1278600686,Alliance Bernstein,CT,,,unknown,,,,,,9/4/2020
US HIGH YIELD ,,,L5529V307,LU1120829723,Alliance Bernstein, IT,,,unknown,,,,,,9/4/2020
Allianz China AShares  AT  USD,,,L0176S129,LU0411150922,Allianz,AT,,,unknown,,,,,,9/4/2020
Allianz China AShares  RT  USD,,,L016DD548,LU1807385924,Allianz,RT,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS ASIA EQUITY CONCENTRATED,,,L2019J431,LU0194906615,Amundi Pioneer,I USD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS EQUITY ASEAN,,,L2043E648,LU0297163072,Amundi Pioneer,I USD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS EQUITY EMERGING CONSERVATIVE,,,,LU0945153350,Amundi Pioneer,I8,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS EUROLAND EQUITY SMALL CAP,,,L0216G499,LU1049754887,Amundi Pioneer,A USD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS EUROLAND EQUITY SMALL CAP,,,L0216J527,LU1103155039,Amundi Pioneer,I USD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS EUROPEAN EQUITY CONSERVATIVE,,,L02197439,LU1399296240,Amundi Pioneer,A USD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS EUROPEAN EQUITY CONSERVATIVE,,,L02197454,LU1399296679,Amundi Pioneer,F2 USD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS EUROPEAN EQUITY CONSERVATIVE,,,L02197496,LU1399296323,Amundi Pioneer,G USD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS GLOBAL CORPORATE BOND,,,L1306M354,LU0319688528,Amundi Pioneer,I USD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS GLOBAL HIGH YIELD BOND,,,L0216J774,LU1162499443,Amundi Pioneer,A USD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS GLOBAL HIGH YIELD BOND,,,L0216J717,LU1162498809,Amundi Pioneer,I USD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS PIONEER US BOND,,,L0216U365,LU1883849868,Amundi Pioneer,A2 USD MD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS PIONEER US CORPORATE BOND,,,L0216K243,LU1162498049,Amundi Pioneer,A USD,,,unknown,,,,,,9/4/2020
CALAMOS EMERGING MARKETS FUND (Style: Emerging Markets Growth Equity),,,G17689301,IE00BQR1M12,Calamos,Class A,,,unknown,,,,,,9/4/2020
Capital Group AMCAP Fund (LUX),,,1R21F438,,Capital Group,Zgd (Inc),,,unknown,,,,,,9/4/2020
Capital Group European Growth and Income Fund (LUX),,,L1404G408,,Capital Group,B (Acc),,,unknown,,,,,,9/4/2020
Capital Group European Growth and Income Fund (LUX),,,L14126772,,Capital Group,Bd (Inc),,,unknown,,,,,,9/4/2020
Capital Group European Growth and Income Fund (LUX),,,L14074527,,Capital Group,Z (Acc),,,unknown,,,,,,9/4/2020
Capital Group European Growth and Income Fund (LUX),,,L14074568,,Capital Group,Zd (Inc),,,unknown,,,,,,9/4/2020
Capital Group Global Allocation Fund (LUX),,,L1412J 527,,Capital Group,B (Acc),,,unknown,,,,,,9/4/2020
Capital Group Global Allocation Fund (LUX),,,L1412J 576,,Capital Group,Bd (Inc),,,unknown,,,,,,9/4/2020
Capital Group Global Allocation Fund (LUX),,,L1396R271,,Capital Group,N (Acc),,,unknown,,,,,,9/4/2020
Capital Group Global Allocation Fund (LUX),,,L1412J 741,,Capital Group,Z (Acc),,,unknown,,,,,,9/4/2020
Capital Group Global Growth and Income Fund (LUX),,,L14071689,,Capital Group,B (Acc),,,unknown,,,,,,9/4/2020
Capital Group Global Growth and Income Fund (LUX),,,L14071861,,Capital Group,Bd (Inc),,,unknown,,,,,,9/4/2020
Capital Group Global Growth and Income Fund (LUX),,,L14074683,,Capital Group,Z (Acc),,,unknown,,,,,,9/4/2020
Capital Group Global Growth and Income Fund (LUX),,,L14074717,,Capital Group,Zd (Inc),,,unknown,,,,,,9/4/2020
Capital Group Global High Income Opportunities (LUX),,,L1409B115,,Capital Group,B (Acc),,,unknown,,,,,,9/4/2020
Capital Group Global High Income Opportunities (LUX),,,L14127549,,Capital Group,Bd (Inc),,,unknown,,,,,,9/4/2020
Capital Group Global High Income Opportunities (LUX),,,L1407E194,,Capital Group,Z (Acc),,,unknown,,,,,,9/4/2020
Capital Group Global High Income Opportunities (LUX),,,L14074386,,Capital Group,Zd (Inc),,,unknown,,,,,,9/4/2020
Capital Group Investment Company of America (LUX),,,L1412L 761,,Capital Group,N (Acc),,,unknown,,,,,,9/4/2020
Capital Group Japan Equity Fund (LUX),,,L14129362,,Capital Group,B (Acc),,,unknown,,,,,,9/4/2020
Capital Group Japan Equity Fund (LUX),,,L14129131,,Capital Group,Bd (Inc),,,unknown,,,,,,9/4/2020
Capital Group US High Yield Fund (LUX),,,L1407G 355,,Capital Group,B (Acc),,,unknown,,,,,,9/4/2020
Fundamental security selection in global corporate bonds,,,L1412M 116,,Capital Group,Z (Acc),,,unknown,,,,,,9/4/2020
Fundamental security selection in global corporate bonds,,,L1412M 124,,Capital Group,Zd (Inc),,,unknown,,,,,,9/4/2020
Cullen Emerging Markets High Dividend Fund Class A1 EUR Retail Distributing,,,G2601U 733,IE00BXNT0M63,Cullen Funds,A1,,,unknown,,,,,,9/4/2020
Cullen Emerging Markets High Dividend Fund Class A1 GBP  Retail Distributing,,,G2601U 691,IE00BXNT0H11,Cullen Funds,A1,,,unknown,,,,,,9/4/2020
Cullen Emerging Markets High Dividend Fund Class A2 EUR Retail Accumulating,,,G2601U 725,IE00BXNT0L56,Cullen Funds,A2,,,unknown,,,,,,9/4/2020
Cullen Emerging Markets High Dividend Fund Class A2 GBP  Retail Accumulating,,,G2601U 683,IE00BXNT0G04,Cullen Funds,A2,,,unknown,,,,,,9/4/2020
Cullen Global High Dividend Value Equity Fund Class A1 EUR Retail Distributing,,,G2601U 337,IE00B6T2TB25,Cullen Funds,A1,,,unknown,,,,,,9/4/2020
Cullen Global High Dividend Value Equity Fund Class A2 EUR Retail Accumulating,,,G2601U 295,IE00B4Y3H566,Cullen Funds,A2,,,unknown,,,,,,9/4/2020
Cullen Global High Dividend Value Equity Fund Class A2 GBP  Retail Accumulating,,,G2601U 311,IE00B4LHVZ95,Cullen Funds,A2,,,unknown,,,,,,9/4/2020
Cullen Global High Dividend Value Equity Fund Class I1 GBP  (Unhedged) Institutional Distributing,,,G2601U 410,IE00B9766G16,Cullen Funds,I1,,,unknown,,,,,,9/4/2020
Cullen Global High Dividend Value Equity Fund Class I2 GBP  (Unhedged) Institutional Accumulating,,,G2601U 402,IE00B9766D84,Cullen Funds,I2,,,unknown,,,,,,9/4/2020
Cullen Global High Dividend Value Equity Fund Class I2 GBP  Institutional Accumulating,,,G2601U 303,IE00B4P8T546,Cullen Funds,I2,,,unknown,,,,,,9/4/2020
Cullen US Enhanced Equity Income Fund Class A1 GBP  Retail Distributing,,,G2601U 535,IE00B6T5N200,Cullen Funds,A1,,,unknown,,,,,,9/4/2020
Cullen US Enhanced Equity Income Fund Class A2 GBP  Retail Accumulating,,,G2601U 527,IE00B6T5HG21,Cullen Funds,A2,,,unknown,,,,,,9/4/2020
Cullen US Enhanced Equity Income Fund Class I1 EUR Institutional Distributing,,,G2601U 550,IE00B6T5TL12,Cullen Funds,I1,,,unknown,,,,,,9/4/2020
Cullen US Enhanced Equity Income Fund Class I2 GBP  (Unhedged) Institutional Accumulating,,,G2601U 600,IE00B6T61L85,Cullen Funds,I2,,,unknown,,,,,,9/4/2020
EATON VANCE INT'L (CAYMAN) EMERGING MARKETS LOCAL FINCOME FUND CLASS N  ,,,G29163659,,EATON VANCE OFFSHORE FUNDS,N,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Asian Special Situations Fund,,,,BMG339791932,FIDELITY,B1,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Emerging Markets Fund,,,,BMG3397P2278,FIDELITY,A1,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Emerging Markets Fund,,,,BMG339796291 ,FIDELITY,A2,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Emerging Markets Fund,,,,BMG339798271 ,FIDELITY,C1,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Emerging Markets Fund,,,,BMG339796374 ,FIDELITY,C2,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Emerging Markets Fund,,,,BMG3397P2500 ,FIDELITY,I1,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Emerging Markets Fund,,,,BMG339796457 ,FIDELITY,I2,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Emerging Markets Fund,,,,BMG3397P2435 ,FIDELITY,L1,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Emerging Markets Fund,,,,BMG339796523 ,FIDELITY,L2,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Equity Income Fund,,,,BMG339796606 ,FIDELITY,A1,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Equity Income Fund,,,,BMG339797026 ,FIDELITY,A2,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Equity Income Fund,,,,BMG339796788 ,FIDELITY,C1,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Equity Income Fund,,,,BMG339797109 ,FIDELITY,C2,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Equity Income Fund,,,,BMG339796861 ,FIDELITY,I1,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Equity Income Fund,,,,BMG339797281 ,FIDELITY,I2,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Equity Income Fund,,,,BMG339796945 ,FIDELITY,L1,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Equity Income Fund,,,,BMG339797364 ,FIDELITY,L2,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Mega Cap Stock Fund,,,,BMG339797448 ,FIDELITY,A1,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Mega Cap Stock Fund,,,,BMG339797513 ,FIDELITY,C1,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Mega Cap Stock Fund,,,,BMG339797695,FIDELITY,I1,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Mega Cap Stock Fund,,,,BMG339797778 ,FIDELITY,L1,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Mega Cap Stock Fund,,,,BMG339797851,FIDELITY,A2,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Mega Cap Stock Fund,,,,BMG339797935 ,FIDELITY,C2,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Mega Cap Stock Fund,,,,BMG339798016,FIDELITY,I2,,,unknown,,,,,,9/4/2020
Fidelity Advisor World Mega Cap Stock Fund,,,,BMG339798198 ,FIDELITY,L2,,,unknown,,,,,,9/4/2020
Franklin Diversified Conservative Fund,,,L4060F433,,Franklin Templeton,A(Qdis)USDH1,,,unknown,,,,,,9/4/2020
Franklin Global Convertible Securities Fund,,,L40598481,,Franklin Templeton,C(acc)USD,,,unknown,,,,,,9/4/2020
Templeton Euroland Fund,,,L40598416,,Franklin Templeton,A(acc)USD,,,unknown,,,,,,9/4/2020
Templeton Euroland Fund,,,L40598424,,Franklin Templeton,A(Ydis)USD,,,unknown,,,,,,9/4/2020
Templeton Euroland Fund,,,L40598440,,Franklin Templeton,C(acc)USDH1,,,unknown,,,,,,9/4/2020
Templeton Euroland Fund,,,L40598432,,Franklin Templeton,N(acc)USDH1,,,unknown,,,,,,9/4/2020
Legg Mason Brandywine Global High Yield Fund,,,G5S472227, IE00BD068375,Legg Mason,Class F,,,unknown,,,,,,9/4/2020
Legg Mason Brandywine Global Income Optimiser Fund,,,G5447A530,IE00BBT3JV05,Legg Mason,Class E,,,unknown,,,,,,9/4/2020
Legg Mason Brandywine Global Income Optimiser Fund,,,G5447A548,IE00BBT3JW12,Legg Mason,Class F,,,unknown,,,,,,9/4/2020
Legg Mason ClearBridge Tactical Dividend Income Fund,,,G54499432,IE00BPBG5T51,Legg Mason,Class E,,,unknown,,,,,,9/4/2020
Legg Mason ClearBridge Tactical Dividend Income Fund,,,G5447A647,IE00BBT3K627,Legg Mason,Class E,,,unknown,,,,,,9/4/2020
Legg Mason ClearBridge US Equity Income Fund,,,G5447A696,IE00BBT3KC88,Legg Mason,Class F,,,unknown,,,,,,9/4/2020
Legg Mason RARE Infrastructure Value Fund,,,G5S472805,IE00BDBBPY19,Legg Mason,Class F,,,unknown,,,,,,9/4/2020
Legg Mason Western Asset Euro Core Plus Bond Fund,,,G54499291,IE00BNB7LK78,Legg Mason,Class F,,,unknown,,,,,,9/4/2020
Matthews India Fund,,,L6263Q 520, LU0594557299,Matthews Asia,AAccumulation,,,unknown,,,,,,9/4/2020
Matthews India Fund,,,L6263Q 546, LU0594557885,Matthews Asia,IAccumulation,,,unknown,,,,,,9/4/2020
Matthews Pacific Tiger Fund,,,L6263Q264,LU0491816558 ,Matthews Asia,IDistribution,,,unknown,,,,,,9/4/2020
Merian Gold & Silver Fund N USD Acc,,,G67615610,IE00BYVJRG87,Merian (exOld Mutual) ,N,,,unknown,,,,,,9/4/2020
Emerging Markets Corporate Debt Fund,,,L6523G684,LU1697575261    ,Morgan Stanley,AR,,,unknown,,,,,,9/4/2020
Global Fixed Income Opportunities Fund,,,L6523G718,LU1697575931    ,Morgan Stanley,AR,,,unknown,,,,,,9/4/2020
US Dollar High Yield Bond Fund,,,L6523G668,LU1697574702    ,Morgan Stanley,AR,,,unknown,,,,,,9/4/2020
DNCA Invest Convertibles,,,L2403S 674,LU1278539595,Natixis  Loomis Sayles,HI (USD),,,unknown,,,,,,9/4/2020
DNCA Invest Eurose,,,L2403S 625,LU1278537540,Natixis  Loomis Sayles,HI (USD),,,unknown,,,,,,9/4/2020
DNCA Invest Eurose,,,L2403S 641,LU1278537979,Natixis  Loomis Sayles,HAD (USD),,,unknown,,,,,,9/4/2020
DNCA Invest South Europe Opportunities,,,L2403S 658,LU1278538514,Natixis  Loomis Sayles,HI (USD),,,unknown,,,,,,9/4/2020
DNCA Invest Value Europe,,,L2403S 682,LU1278538944,Natixis  Loomis Sayles,HI (USD),,,unknown,,,,,,9/4/2020
H2O GLOBAL MULTIEMERGING DEBT,,,G47056588,IE00BYMPGD52,Natixis  Loomis Sayles,I/D (USD),,,unknown,,,,,,9/4/2020
HARRIS ASSOCIATES CONCENTRATED U.S EQUITY FUND ,,,L6652H180 ,LU0647997625,Natixis  Loomis Sayles,C/A (USD),,,unknown,,,,,,9/4/2020
LOOMIS SAYLES  HIGH INCOME FUND,,,G6S69R751,IE00BZ1F3D24,Natixis  Loomis Sayles,RE/A (USD),,,unknown,,,,,,9/4/2020
LOOMIS SAYLES EMERGING DEBT AND CURRENCIES FUND ,,,L6652G661,LU0556618634,Natixis  Loomis Sayles,RE/A (USD),,,unknown,,,,,,9/4/2020
Loomis Sayles Global Growth Equity,,,L67040474,LU1429560128,Natixis  Loomis Sayles,R/D (USD),,,unknown,,,,,,9/4/2020
Loomis Sayles Global Growth Equity,,,L67040490,LU1429560391,Natixis  Loomis Sayles,I/D (USD),,,unknown,,,,,,9/4/2020
LOOMIS SAYLES GLOBAL OPPORTUNISTIC BOND FUND,,,G6S69R876,IE00BZ1F5Z83,Natixis  Loomis Sayles,RE/A (USD),,,unknown,,,,,,9/4/2020
LOOMIS SAYLES U.S. RESEARCH FUND,,,L6703U701,LU1201860944,Natixis  Loomis Sayles,RE/A (USD),,,unknown,,,,,,9/4/2020
LOOMIS SAYLES U.S. RESEARCH FUND,,,L6703U701,LU1201860944,Natixis  Loomis Sayles,RE/A (USD),,,unknown,,,,,,9/4/2020
Mirova Global Sustainable Equity,,,L6426L400,LU1303736745,Natixis  Loomis Sayles,HR/A (USD),,,unknown,,,,,,9/4/2020
Mirova Global Sustainable Equity,,,L6426L392,LU1303736661,Natixis  Loomis Sayles,HI/A (USD),,,unknown,,,,,,9/4/2020
Mirova Global Sustainable Equity,,,L6426L418,LU1303737040,Natixis  Loomis Sayles,HRE/A (USD),,,unknown,,,,,,9/4/2020
OSTRUM Credit Opportunities,,,L6703V667,LU1118016572,Natixis  Loomis Sayles,HR/A (USD),,,unknown,,,,,,9/4/2020
OSTRUM Euro Aggregate Fund,,,L6703Y166,LU1335354038,Natixis  Loomis Sayles,HI/A (USD),,,unknown,,,,,,9/4/2020
OSTRUM Euro Aggregate Fund,,,L6703V816,LU1118014445,Natixis  Loomis Sayles,HR/A (USD),,,unknown,,,,,,9/4/2020
OSTRUM Euro Aggregate Fund,,,L6703V824,LU1118014528,Natixis  Loomis Sayles,HR/D (USD),,,unknown,,,,,,9/4/2020
OSTRUM Euro Short Term Credit Fund,,,L6703X408,LU1118011938,Natixis  Loomis Sayles,HR/A (USD),,,unknown,,,,,,9/4/2020
OSTRUM Euro Short Term Credit Fund,,,L6703X390,LU1118011854,Natixis  Loomis Sayles,HI/A (USD),,,unknown,,,,,,9/4/2020
OSTRUM Euro Short Term Credit Fund,,,L6703X416,LU1118012076,Natixis  Loomis Sayles,HR/D (USD),,,unknown,,,,,,9/4/2020
Seeyond Europe MinVol,,,L6703X887,LU1118019246,Natixis  Loomis Sayles,HI/A (USD),,,unknown,,,,,,9/4/2020
Seeyond Europe MinVol,,,L6703Y158,LU1335354384,Natixis  Loomis Sayles,HRE/A (USD),,,unknown,,,,,,9/4/2020
Seeyond Multi Asset Conservative Growth Fund,,,L6703Y141,LU1335354202,Natixis  Loomis Sayles,HRE/A (USD),,,unknown,,,,,,9/4/2020
Seeyond Multi Asset Conservative Growth Fund,,,L6703X754,LU1118018784,Natixis  Loomis Sayles,I/A (USD),,,unknown,,,,,,9/4/2020
NB GLOBAL HIGH YIELD BD FD CL C1 (USD)(ACC)   ,,,G64406161,,NEUBERGER BERMAN OFFSHORE,D,,,unknown,,,,,,9/4/2020
NB HIGH QUALITY GL SENIOR FLOATING RATE INC FUND CLASS I (USD) (ACC) (OFF)  ,,,G6S31P131,,NEUBERGER BERMAN OFFSHORE,C,,,unknown,,,,,,9/4/2020
NB SHORT DURATION EMERG MRKT DEBT FUND CL M (EUR) (ACC) ISIN IE00BWB95M67 ,,,G6S31M765,,NEUBERGER BERMAN OFFSHORE,R,,,unknown,,,,,,9/4/2020
NB U.S. REAL ESTATE SECURITIES FUND CLASS  A (USD)(DIS)   ,,,G6S30M246,,NEUBERGER BERMAN OFFSHORE,F,,,unknown,,,,,,9/4/2020
NB UNCORRELATED STRAT FD CL I (USD) (ACC)   ,,,G6430L640,,NEUBERGER BERMAN OFFSHORE,T,,,unknown,,,,,,9/4/2020
NEUBERGER & BERMAN SHORT DURATION EMERGING MARKET DEBT FD CL C1 (ACC) (USD) IE00BFH58D19 ,,,G6S30W269,,NEUBERGER BERMAN OFFSHORE,C1,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN ASIAN DEBT HARD CURRENCY FUND CL A (USD) (ACC)  ,,,G6431L128,,NEUBERGER BERMAN OFFSHORE,N,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN ASIAN DEBT HARD CURRENCY FUND CL A (USD) (MDIS)  ,,,G6431L136,,NEUBERGER BERMAN OFFSHORE,Y,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN ASIAN DEBT HARD CURRENCY FUND CLASS I (USD) (DIS) (OFFSHORE) ,,,G6431L144,,NEUBERGER BERMAN OFFSHORE,S,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN ASIAN OPPORTUNITIES FUND CLASS A (USD) (ACC)(OFFSHORE)  ,,,G6430K667,,NEUBERGER BERMAN OFFSHORE,S,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN ASIAN OPPORTUNITIES FUND CLASS M (USD) (ACC)(OFF)  ,,,G64406799,,NEUBERGER BERMAN OFFSHORE, C,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN CHINA EQUITY OPPORTUNITIES FUND CLASS A (USD)(ACC)  ,,,G6430T296,,NEUBERGER BERMAN OFFSHORE,S,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN CHINA EQUITY OPPORTUNITIES FUND CLASS C1 (USD)(ACC)  ,,,G6430T312,,NEUBERGER BERMAN OFFSHORE, F,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN CHINA EQUITY OPPORTUNITIES FUND CLASS M (USD)(ACC)  ,,,G6430T304,,NEUBERGER BERMAN OFFSHORE,S,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN CHINA ONSHORE BOND FUND CLASS A (USD) (ACC)  ,,,G6430T395,,NEUBERGER BERMAN OFFSHORE, F,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN CORP HYBRID BD FD CL C1 (USD)(ACC)   ,,,G64406500,,NEUBERGER BERMAN OFFSHORE,D,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN CORP HYBRID BD FD CL M (USD)(ACC)   ,,,G64406609,,NEUBERGER BERMAN OFFSHORE,I,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN CORP HYBRID BD FD CL M (USD)(DIS)   ,,,G64406708,,NEUBERGER BERMAN OFFSHORE,I,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN CORPORATE HYBRID BOND FUND CLASS A (ACC)(USD)(OFF)  ,,,G6430L368,,NEUBERGER BERMAN OFFSHORE,D,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN CORPORATE HYBRID BOND FUND CLASS M (EUR) (ACC) ISIN IE00BD9WHQ23 ,,,G64392403,,NEUBERGER BERMAN OFFSHORE,R,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMERG MARKET DEBT (HC) FUND CL M (EUR) (ACC) ISIN IE00BSNLZN33 ,,,G6S31K751,,NEUBERGER BERMAN OFFSHORE,R,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMERG MRKT DEBT BLEND FUND CL M (EUR) (ACC) ISIN IE00BSNLZD35 ,,,G6430D507,,NEUBERGER BERMAN OFFSHORE,R,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMERGING MARKET DEBT BLEND FUND CLASS A (USD)(DIS)  ,,,G6S31F539,,NEUBERGER BERMAN OFFSHORE,D,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMERGING MARKETS EQUITY FUND CL M (EUR) (ACC) ISIN IE00BWB99R92 ,,,G64309480,,NEUBERGER BERMAN OFFSHORE,R,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMERGING MARKETS EQUITY FUND CLASS C1 (USD)(ACC)  ,,,G64406310,,NEUBERGER BERMAN OFFSHORE, F,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMERGING MRKT DEBT BLEND INV GRADE FD CL A(USD)(ACC)(OFF)  ,,,G6430S132,,NEUBERGER BERMAN OFFSHORE,D,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMMA CORPORATE DEBT FD CL C1 (USD) (ACC)(OFFSHORE)  ,,,G64406104,,NEUBERGER BERMAN OFFSHORE, C,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMMA CORPORATE DEBT FD CL M (USD) (DIS)(OFFSHORE)  ,,,G64406120,,NEUBERGER BERMAN OFFSHORE,L,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMMA DEBT BLEND FUND CLASS C1 (USD) (ACC)(OFF)  ,,,G64406286,,NEUBERGER BERMAN OFFSHORE,C,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMMA DEBT BLEND FUND CLASS M (USD) (ACC)(OFFSHORE)  ,,,G64406294,,NEUBERGER BERMAN OFFSHORE,S,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMMA DEBT BLEND INVEST GRADE FD CL I (USA)(ACC) (OFF) IE00BD3DV032 ,,,G6430S116,,NEUBERGER BERMAN OFFSHORE,A,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMMA DEBT HARD CURRENCY FD CL C1 (USD)(ACC)(OFF)  ,,,G64406138,,NEUBERGER BERMAN OFFSHORE, F,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMMA DEBT HARD CURRENCY FD CL M (USD)(ACC)(OFF)  ,,,G64406146,,NEUBERGER BERMAN OFFSHORE,Y,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMMA DEBT HARD CURRENCY FD CL M (USD)(DIS)(OFF)  ,,,G64406153,,NEUBERGER BERMAN OFFSHORE,Y,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMMA DEBT LOCAL CURR FD CL I (USD) (DIS) ISIN IE00BYT43784 ,,,G6429V468,,NEUBERGER BERMAN OFFSHORE,D,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMMA DEBT LOCAL CURRENCY FD CL C1 (USD)(ACC)(OFF)  ,,,G64406252,,NEUBERGER BERMAN OFFSHORE, F,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMMA DEBT LOCAL CURRENCY FD CL M (USD)(ACC)(OFF)  ,,,G64406260,,NEUBERGER BERMAN OFFSHORE,Y,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EMMA DEBT LOCAL CURRENCY FD CL M (USD)(DIS)(OFF)  ,,,G64406278,,NEUBERGER BERMAN OFFSHORE,Y,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN EUROPEAN HIGH YIELD BOND FUND CLASS A (USD)(ACC)(OFF)  ,,,G6431E140,,NEUBERGER BERMAN OFFSHORE,D,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN GL SENIOR FLOAT RATE INC FD II CL I (USD)(ACC)  ,,,G642A2833,,NEUBERGER BERMAN OFFSHORE,I,,,unknown,,,,,,9/4/2020
NEUBERGER BERMAN GLOBAL BOND FUND CLASS C1 (USD)(ACC) (OFFSHORE)  ,,,G6S30K521,,NEUBERGER BERMAN OFFSHORE, C,,,unknown,,,,,,9/4/2020
